#Distance(A) Planar-Average-Potential(eV)/Densitiy(e/A)
 23.5441             5.49368
 23.6422             5.49310
 23.7403             5.49256
 23.8384             5.49196
 23.9365             5.49140
 24.0346             5.49081
 24.1327             5.49025
 24.2308             5.48964
 24.3289             5.48908
 24.4270             5.48847
 24.5251             5.48791
 24.6232             5.48729
 24.7213             5.48673
 24.8194             5.48612
 24.9175             5.48556
 25.0156             5.48494
 25.1137             5.48437
 25.2118             5.48376
 25.3099             5.48320
 25.4080             5.48257
 25.5061             5.48201
 25.6042             5.48139
 25.7023             5.48083
 25.8004             5.48020
 25.8985             5.47963
 25.9966             5.47901
 26.0947             5.47845
 26.1928             5.47782
 26.2909             5.47725
 26.3890             5.47663
 26.4871             5.47606
 26.5852             5.47543
 26.6833             5.47486
 26.7814             5.47423
 26.8795             5.47366
 26.9776             5.47303
 27.0757             5.47246
 27.1738             5.47184
 27.2719             5.47126
 27.3700             5.47063
